,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
2905,631a5daf8755a8a98960a581,2023-10-21,72,1,538740,538740.0,4040,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2908,631a5daf8755a8a98960a5dc,2023-10-17,76,1,80000,80000.0,600,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2910,631a5daf8755a8a98960a5ec,2023-10-20,73,8,3590000,448750.0,26925,4,100000.0,6,1,3,Kecil,2,Seasonal Seller
2912,631a5daf8755a8a98960a62d,2023-08-19,135,1,47001,47001.0,352,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2913,631a5daf8755a8a98960a64b,2023-10-21,72,7,81458149,11636878.42857143,610933,0,0.0,5,3,3,Menengah,2,Seasonal Seller
2917,631a5daf8755a8a98960a68e,2023-10-18,75,2,205000,102500.0,1537,0,0.0,2,1,1,Mikro,2,Seasonal Seller
2919,631a5db08755a8a98960a70a,2023-10-11,82,2,104562000,52281000.0,784214,0,0.0,1,1,1,Kecil,2,Seasonal Seller
2921,631a5db08755a8a98960a756,2023-09-07,116,2,62065000,31032500.0,465487,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2927,631a5db18755a8a98960a839,2023-08-18,136,3,681199800,227066600.0,3618823,0,0.0,2,2,2,Kecil,2,Seasonal Seller
2934,631a5db18755a8a98960a8a9,2023-08-19,135,1,34577700,34577700.0,259332,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2937,631a5db18755a8a98960a905,2023-09-13,110,2,6986545370,3493272685.0,17466362,0,0.0,2,1,1,Menengah,2,Seasonal Seller
2938,631a5db18755a8a98960a923,2023-07-19,166,1,5724400,5724400.0,42933,0,0.0,1,1,1,Menengah,2,Seasonal Seller
2941,631a5db28755a8a98960a9cd,2023-09-12,111,3,13873015,4624338.333333333,104047,0,0.0,3,3,3,Kecil,2,Seasonal Seller
2942,631a5db28755a8a98960a9f1,2023-10-11,82,3,29553527,9851175.666666666,221651,0,0.0,1,1,1,Kecil,2,Seasonal Seller
2943,631a5db28755a8a98960aa14,2023-08-19,135,1,749250,749250.0,5619,0,0.0,1,1,1,Mikro,2,Seasonal Seller
2944,631a5db28755a8a98960aa81,2023-10-21,72,12,844746693,70395557.75,6335594,0,0.0,4,2,2,Menengah,2,Seasonal Seller
2953,631a5db38755a8a98960ac89,2023-10-07,86,1,67765500,67765500.0,508241,0,0.0,1,1,1,Besar,2,Seasonal Seller
2954,631a5db38755a8a98960acb4,2023-09-15,108,5,110227500,22045500.0,826705,0,0.0,2,1,1,Kecil,2,Seasonal Seller
2956,631a5db38755a8a98960acd4,2023-10-05,88,2,3900014,1950007.0,29249,0,0.0,2,1,2,Menengah,2,Seasonal Seller
2958,631a5db48755a8a98960ad1f,2023-07-17,168,1,32211839,32211839.0,241588,0,0.0,1,1,1,Menengah,2,Seasonal Seller
2968,631a5db58755a8a98960ae46,2023-10-13,80,1,7683500,7683500.0,57626,0,0.0,1,1,1,Menengah,2,Seasonal Seller
2971,631a5db58755a8a98960ae8a,2023-06-27,188,1,69375000,69375000.0,520312,0,0.0,1,1,1,Kecil,2,Seasonal Seller
2977,631a5db68755a8a98960af9e,2023-10-13,80,2,252010,126005.0,1889,0,0.0,2,1,1,Mikro,2,Seasonal Seller
2983,631a5db68755a8a98960b02a,2023-09-28,95,2,43017051,21508525.5,322627,0,0.0,1,1,1,Menengah,2,Seasonal Seller
2984,631a5db68755a8a98960b039,2023-10-12,81,5,167848020,33569604.0,1258859,0,0.0,2,1,1,Menengah,2,Seasonal Seller
2991,631a5db78755a8a98960b0d0,2023-10-12,81,9,1846677570,205186396.66666666,6057879,0,0.0,2,1,1,Menengah,2,Seasonal Seller
2999,631a5db88755a8a98960b2a7,2023-08-24,130,2,51304479,25652239.5,384782,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3000,631a5db88755a8a98960b2d9,2023-10-21,72,1,42000,42000.0,315,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3001,631a5db88755a8a98960b2ff,2023-09-12,111,2,179000,89500.0,1341,0,0.0,2,1,2,Mikro,2,Seasonal Seller
3014,631a5dba8755a8a98960b545,2023-10-12,81,2,226110,113055.0,1695,0,0.0,2,2,2,Kecil,2,Seasonal Seller
3015,631a5dba8755a8a98960b62e,2023-10-04,89,6,41780150,6963358.333333333,313351,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3023,631a5dc18755a8a98960c00e,2023-07-27,158,4,205075040,51268760.0,1538061,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3028,631a5dc68755a8a98960c660,2023-10-03,90,9,155137457,17237495.222222224,1163525,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3029,631a5fb4aa3096cbda279138,2023-08-31,123,1,44000,44000.0,330,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3033,631a5fb5aa3096cbda2791ff,2023-06-30,185,1,250000,250000.0,1875,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3037,631a5fb5aa3096cbda279261,2023-10-12,81,3,289250,96416.66666666667,2168,0,0.0,3,2,2,Mikro,2,Seasonal Seller
3038,631a5fb6aa3096cbda27930e,2023-07-21,164,6,2441632,406938.6666666667,18310,0,0.0,6,4,5,Mikro,2,Seasonal Seller
3041,631a5fb6aa3096cbda2793bf,2023-10-01,92,2,61050000,30525000.0,457875,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3051,631a5fb8aa3096cbda27959a,2023-07-25,160,1,59000,59000.0,442,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3057,631a5fb9aa3096cbda279799,2023-07-22,163,1,199000,199000.0,1492,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3059,631a5fb9aa3096cbda279969,2023-10-24,69,12,57396500,4783041.666666667,430473,0,0.0,3,1,1,Kecil,2,Seasonal Seller
3061,631a5fbaaa3096cbda279a41,2023-08-11,143,1,87000,87000.0,652,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3064,631a5fbaaa3096cbda279b5c,2023-07-04,181,1,84500000,84500000.0,633750,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3068,631a5fbcaa3096cbda279e03,2023-07-01,184,1,5270000,5270000.0,39525,0,0.0,1,1,1,Menengah,2,Seasonal Seller
3079,631a5fc3aa3096cbda27a1c5,2023-10-24,69,8,696835467,87104433.375,5226263,0,0.0,4,1,1,Menengah,2,Seasonal Seller
3082,631a5fc5aa3096cbda27a284,2023-09-09,114,1,5161000,5161000.0,38707,0,0.0,1,1,1,Kecil,2,Seasonal Seller
3094,631a5fc9aa3096cbda27a3b8,2023-09-13,110,2,123210,61605.0,923,0,0.0,2,2,2,Mikro,2,Seasonal Seller
3095,631a5fc9aa3096cbda27a3f2,2023-08-05,149,1,450000,450000.0,3375,0,0.0,1,1,1,Mikro,2,Seasonal Seller
3098,631a5fc9aa3096cbda27a441,2023-09-01,122,3,1700000,566666.6666666666,12750,0,0.0,1,1,1,Kecil,2,Seasonal Seller
