,seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
3244,631a62f6aa3096cbda28dfc6,2023-01-28,338,1,4870000,4870000.0,36525,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3250,631a62f78755a8a9896213e4,2023-04-05,271,2,74092500,37046250.0,555693,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3252,631a62f88755a8a9896213f2,2023-06-24,191,2,169918775,84959387.5,1274390,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3253,631a62f88755a8a98962140d,2023-03-15,292,1,110000,110000.0,825,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3262,631a62f98755a8a9896214bd,2023-01-10,356,1,156862,156862.0,1176,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3272,631a62faaa3096cbda28e0d0,2023-01-24,342,1,11500000,11500000.0,86250,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3280,631a62fbaa3096cbda28e111,2023-04-23,253,1,160000,160000.0,1200,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3283,631a62fc8755a8a989621666,2023-04-26,250,2,199866600,99933300.0,1498999,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3290,631a62fe8755a8a98962172b,2023-02-10,325,1,484400,484400.0,3633,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3297,631a62feaa3096cbda28e244,2023-01-11,355,1,2513184,2513184.0,18848,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3309,631a63008755a8a9896218d9,2023-06-16,199,1,88315,88315.0,662,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3315,631a6300aa3096cbda28e319,2023-05-20,226,1,214177275,214177275.0,1606329,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3320,631a6301aa3096cbda28e351,2023-06-24,191,3,51600000,17200000.0,387000,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3322,631a63028755a8a989621a83,2023-03-08,299,1,41000,41000.0,307,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3328,631a63028755a8a989621b19,2023-01-06,360,1,139524336,139524336.0,1046432,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3363,631a6307aa3096cbda28e4db,2023-06-22,193,1,2236500,2236500.0,16773,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3368,631a6308aa3096cbda28e52f,2023-06-09,206,1,53000,53000.0,397,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3369,631a6308aa3096cbda28e531,2023-02-21,314,1,1715000,1715000.0,12862,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3370,631a6308aa3096cbda28e538,2023-04-20,256,1,70000,70000.0,525,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3382,631a630aaa3096cbda28e598,2023-01-17,349,1,105000,105000.0,787,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3385,631a630aaa3096cbda28e5ad,2023-06-20,195,1,103290,103290.0,774,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3390,631a630aaa3096cbda28e5e3,2023-05-18,228,1,50505000,50505000.0,378787,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3433,631a630e8755a8a989621eb1,2023-04-28,248,1,18001,18001.0,135,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3436,631a630e8755a8a989621ee5,2023-03-26,281,2,164540,82270.0,1233,0,0.0,2,2,2,Mikro,1,Big Order Occasional Seller
3441,631a630e8755a8a989621f3e,2023-02-07,328,1,464000,464000.0,3480,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3443,631a630e8755a8a989621f5c,2023-02-12,323,1,87200,87200.0,654,1,32500.0,1,1,1,Mikro,1,Big Order Occasional Seller
3444,631a630eaa3096cbda28e7f6,2023-01-12,354,2,89910000,44955000.0,674324,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3446,631a630eaa3096cbda28e8fc,2023-04-22,254,2,168054000,84027000.0,1260405,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3467,631a63108755a8a98962218a,2023-06-21,194,4,230436,57609.0,1726,1,22800.0,4,2,2,Menengah,1,Big Order Occasional Seller
3472,631a63108755a8a989622208,2023-05-19,227,2,1840000,920000.0,13800,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3482,631a6310aa3096cbda28ea1e,2023-04-25,251,2,110944500,55472250.0,832083,0,0.0,2,2,2,Mikro,1,Big Order Occasional Seller
3497,631a63128755a8a98962233a,2023-06-08,207,1,58000,58000.0,435,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3517,631a63128755a8a9896224bd,2023-06-18,197,1,4383480,4383480.0,32876,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3520,631a6312aa3096cbda28eb30,2023-06-15,200,2,211000,105500.0,1582,0,0.0,2,1,2,Mikro,1,Big Order Occasional Seller
3521,631a6312aa3096cbda28eb3e,2023-05-17,229,1,94630000,94630000.0,709725,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3524,631a6312aa3096cbda28eb56,2023-04-14,262,1,234432,234432.0,1758,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3527,631a6312aa3096cbda28eb8d,2023-06-21,194,2,25725000,12862500.0,192937,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3529,631a6312aa3096cbda28eba5,2023-01-17,349,2,161005500,80502750.0,1207541,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3535,631a6312aa3096cbda28ec10,2023-06-23,192,1,38505060,38505060.0,288787,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3537,631a6312aa3096cbda28ec2b,2023-01-26,340,1,4917000,4917000.0,36877,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3538,631a6312aa3096cbda28ec35,2023-03-16,291,1,8491500,8491500.0,63686,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3539,631a6312aa3096cbda28ec43,2023-02-08,327,1,77760,77760.0,583,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3543,631a6312aa3096cbda28ec71,2023-04-21,255,1,113770,113770.0,853,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3544,631a63138755a8a9896224fc,2023-04-18,258,1,680000,680000.0,5100,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3568,631a63148755a8a9896225ab,2023-06-08,207,1,62998,62998.0,472,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3577,631a63148755a8a989622617,2023-03-23,284,2,2226150,1113075.0,16695,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
3601,631a6314aa3096cbda28ee5d,2023-05-23,223,1,9990000,9990000.0,74925,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3606,631a6314aa3096cbda28ee99,2023-06-14,201,1,116500,116500.0,873,1,50000.0,1,1,1,Mikro,1,Big Order Occasional Seller
3611,631a6314aa3096cbda28eebb,2023-06-14,201,1,14250000,14250000.0,106875,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
3613,631a6314aa3096cbda28eec1,2023-06-16,199,1,92000,92000.0,690,0,0.0,1,1,1,Kecil,1,Big Order Occasional Seller
3620,631a63158755a8a9896227b3,2023-04-18,258,1,63000,63000.0,472,0,0.0,1,1,1,Mikro,1,Big Order Occasional Seller
