,buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
8999,631a6e537476cace453dd5a2,2023-10-05,88,7,557660,79665.71428571429,4181,0,0.0,6,4,4,0,Seasonal Buyer
9000,631a6e537476cace453dd5ab,2023-09-21,102,1,104428,104428.0,783,0,0.0,1,1,1,0,Seasonal Buyer
9005,631a6e577476cace453dd76c,2023-07-27,158,1,26880,26880.0,201,0,0.0,1,1,1,0,Seasonal Buyer
9010,631a6e5a7476cace453dd8b4,2023-10-10,83,5,308600,61720.0,2314,0,0.0,2,1,1,0,Seasonal Buyer
9013,631a6e5c7476cace453dd9e4,2023-09-13,110,2,12259501,6129750.5,91946,0,0.0,2,1,2,0,Seasonal Buyer
9021,631a6e677476cace453ddefd,2023-08-23,131,2,216000,108000.0,1620,0,0.0,2,2,2,0,Seasonal Buyer
9027,631a6e747476cace453de48d,2023-09-15,108,10,5878596,587859.6,44088,0,0.0,6,2,4,0,Seasonal Buyer
9028,631a6e767476cace453de546,2023-08-19,135,2,155456900,77728450.0,1165926,0,0.0,2,2,2,0,Seasonal Buyer
9030,631a6e777476cace453de5df,2023-10-10,83,1,160000,160000.0,1200,0,0.0,1,1,1,0,Seasonal Buyer
9031,631a6e777476cace453de609,2023-06-28,187,1,24109200,24109200.0,180819,0,0.0,1,1,1,0,Seasonal Buyer
9044,631a6e837476cace453deb55,2023-07-08,177,2,7120000,3560000.0,53400,0,0.0,1,1,1,0,Seasonal Buyer
9051,631a6e877476cace453dedbc,2023-08-18,136,2,228804,114402.0,1715,0,0.0,1,1,1,0,Seasonal Buyer
9052,631a6e887476cace453dedfb,2023-09-26,97,4,445400,111350.0,3339,0,0.0,1,1,1,0,Seasonal Buyer
9056,631a6e8b7476cace453def93,2023-10-21,72,1,77700,77700.0,582,0,0.0,1,1,1,0,Seasonal Buyer
9061,631a6e907476cace453df1fe,2023-09-06,117,1,53280,53280.0,399,0,0.0,1,1,1,0,Seasonal Buyer
9063,631a6e927476cace453df2fa,2023-10-01,92,4,10789200,2697300.0,80956,0,0.0,1,1,1,0,Seasonal Buyer
9065,631a6e957476cace453df4aa,2023-08-12,142,1,77420,77420.0,580,0,0.0,1,1,1,0,Seasonal Buyer
9071,631a6e9b7476cace453df77e,2023-08-05,149,4,800000,200000.0,6000,0,0.0,1,1,1,0,Seasonal Buyer
9074,631a6e9c7476cace453df807,2023-10-04,89,1,2725415,2725415.0,20440,0,0.0,1,1,1,0,Seasonal Buyer
9080,631a6ea07476cace453df9ce,2023-07-13,172,2,40792500,20396250.0,305943,0,0.0,2,1,1,0,Seasonal Buyer
9083,631a6ea17476cace453dfa77,2023-09-02,121,1,106730,106730.0,800,0,0.0,1,1,1,0,Seasonal Buyer
9092,631a6ea37476cace453dfb43,2023-10-15,78,2,209936,104968.0,1574,2,120000.0,2,1,2,0,Seasonal Buyer
9095,631a6ea57476cace453dfc51,2023-09-09,114,4,642338,160584.5,4815,2,142500.0,4,4,4,0,Seasonal Buyer
9098,631a6ea87476cace453dfdd6,2023-10-06,87,1,67759,67759.0,508,0,0.0,1,1,1,0,Seasonal Buyer
9099,631a6ea87476cace453dfdf1,2023-10-14,79,4,49200000,12300000.0,369000,0,0.0,1,1,1,0,Seasonal Buyer
9105,631a6eab7476cace453dff72,2023-09-14,109,1,14600100,14600100.0,109500,0,0.0,1,1,1,0,Seasonal Buyer
9110,631a6eaf7476cace453e0120,2023-09-06,117,2,131733716,65866858.0,988002,0,0.0,1,1,1,0,Seasonal Buyer
9112,631a6eb07476cace453e01a9,2023-10-12,81,8,8458538,1057317.25,63437,0,0.0,7,3,6,0,Seasonal Buyer
9120,631a75197476cace453eb62f,2023-09-07,116,2,5436201,2718100.5,40770,0,0.0,2,2,2,0,Seasonal Buyer
9121,631a751e7476cace453eb878,2023-09-06,117,1,945000,945000.0,7087,0,0.0,1,1,1,0,Seasonal Buyer
9123,631a75277476cace453ebb4a,2023-07-13,172,1,3300,3300.0,24,0,0.0,1,1,1,0,Seasonal Buyer
9137,631a754e7476cace453ec76c,2023-09-23,100,5,133980000,26796000.0,1004849,0,0.0,3,2,3,0,Seasonal Buyer
9140,631a75577476cace453eca27,2023-09-28,95,2,365967000,182983500.0,2744752,0,0.0,2,2,2,0,Seasonal Buyer
9142,631a75607476cace453ecd0d,2023-07-21,164,1,3651345,3651345.0,27385,0,0.0,1,1,1,0,Seasonal Buyer
9144,631a75627476cace453ecdec,2023-09-15,108,2,7264450,3632225.0,54482,0,0.0,2,1,2,0,Seasonal Buyer
9145,631a75657476cace453eceb2,2023-07-10,175,2,632624,316312.0,4744,0,0.0,2,2,2,0,Seasonal Buyer
9149,631a756b7476cace453ed097,2023-07-09,176,1,477300,477300.0,3579,0,0.0,1,1,1,0,Seasonal Buyer
9161,631a75747476cace453ed3a5,2023-09-09,114,1,2153500,2153500.0,16151,0,0.0,1,1,1,0,Seasonal Buyer
9167,631a75797476cace453ed56d,2023-10-10,83,10,8035000,803500.0,60260,0,0.0,1,1,1,0,Seasonal Buyer
9171,631a757c7476cace453ed63f,2023-09-05,118,2,4828000,2414000.0,36210,0,0.0,2,1,1,0,Seasonal Buyer
9175,631a757e7476cace453ed6f8,2023-08-09,145,1,25080,25080.0,188,0,0.0,1,1,1,0,Seasonal Buyer
9177,631a757f7476cace453ed751,2023-09-08,115,1,1005500,1005500.0,7541,0,0.0,1,1,1,0,Seasonal Buyer
9189,631a758d7476cace453edc17,2023-07-06,179,1,454350,454350.0,3407,0,0.0,1,1,1,0,Seasonal Buyer
