seller_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,buyer_count,num_of_buyer_province,num_of_buyer_city,seller_category,cluster,cluster_name
631a508c7255a77e0e6e44f8,2023-07-20,165,1,27694500,27694500.0,207708,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a508c7255a77e0e6e4504,2023-12-30,2,68,308541745,4537378.602941177,2314031,0,0.0,19,2,9,Menengah,0,Hyper-Active Seller
631a508d7255a77e0e6e4525,2023-05-20,226,1,730899999,730899999.0,1827249,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a508d7255a77e0e6e4534,2023-06-06,209,4,173075413,43268853.25,1298065,0,0.0,1,1,1,Menengah,1,Big Order Occasional Seller
631a508d7255a77e0e6e4544,2023-12-19,13,2,481339686,240669843.0,2547747,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a508d7255a77e0e6e4548,2023-12-22,10,11,1716662732,156060248.36363637,9972367,0,0.0,2,1,1,Menengah,0,Hyper-Active Seller
631a508d7255a77e0e6e454a,2023-12-23,9,19,6998326321,368332964.2631579,27535295,0,0.0,3,3,3,Kecil,0,Hyper-Active Seller
631a508d7255a77e0e6e454e,2023-12-31,1,15,4620100158,308006677.2,18153833,0,0.0,4,2,3,Menengah,0,Hyper-Active Seller
631a508d7255a77e0e6e4550,2023-12-15,17,27,6544478136,242388079.1111111,31557712,0,0.0,3,2,2,Menengah,0,Hyper-Active Seller
631a508d7255a77e0e6e455c,2023-10-19,74,4,449857080,112464270.0,2455672,0,0.0,2,1,1,Kecil,2,Seasonal Seller
631a508e5b9755003d2503c4,2023-10-28,65,2,195600000,97800000.0,1467000,0,0.0,1,1,1,Mikro,0,Hyper-Active Seller
631a508e5b9755003d2503cb,2023-11-15,47,2,176105941,88052970.5,1320794,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a508e5b9755003d2503d8,2023-11-21,41,9,987834588,109759398.66666667,7408756,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
631a508e7255a77e0e6e4562,2023-10-20,73,10,1920062658,192006265.8,7584927,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a508f5b9755003d2503df,2023-12-22,10,13,1134874822,87298063.23076923,8511555,0,0.0,6,2,5,Kecil,0,Hyper-Active Seller
631a508f7255a77e0e6e4582,2023-10-17,76,1,610000,610000.0,4575,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50905b9755003d25040b,2023-09-26,97,3,224122799,74707599.66666667,1680920,0,0.0,3,2,2,Kecil,2,Seasonal Seller
631a50915b9755003d250416,2023-12-13,19,27,1628385177,60310562.11111111,11538519,0,0.0,7,3,6,Kecil,0,Hyper-Active Seller
631a50915b9755003d25041f,2023-12-30,2,7,1807802692,258257527.42857143,9584165,0,0.0,2,2,2,Kecil,0,Hyper-Active Seller
631a50925b9755003d250439,2023-09-06,117,2,171390988,85695494.0,1285432,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50945b9755003d250462,2023-12-27,5,31,1757652730,56698475.161290325,13182388,0,0.0,7,1,2,Menengah,0,Hyper-Active Seller
631a50957255a77e0e6e6326,2023-09-28,95,3,172198,57399.333333333336,1289,1,25000.0,3,2,2,Menengah,2,Seasonal Seller
631a50967255a77e0e6e66e9,2023-12-13,19,7,307262374,43894624.85714286,2304465,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50967255a77e0e6e6977,2023-10-17,76,11,535828614,48711692.18181818,4018709,0,0.0,1,1,1,Menengah,2,Seasonal Seller
631a50977255a77e0e6e6aee,2023-11-04,58,2,22866000,11433000.0,171495,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50977255a77e0e6e6af4,2023-12-08,24,3,642883140,214294380.0,3797165,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
631a50997255a77e0e6e6ee3,2023-12-30,2,96,4358859817,45404789.760416664,31880159,0,0.0,20,3,7,Menengah,0,Hyper-Active Seller
631a50997255a77e0e6e6ef3,2023-07-05,180,2,193140000,96570000.0,1448550,0,0.0,1,1,1,Kecil,2,Seasonal Seller
631a50997255a77e0e6e6fb7,2023-11-24,38,5,504253020,100850604.0,3781897,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50997255a77e0e6e6fbd,2023-12-28,4,3,238749999,79583333.0,1790622,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a50997255a77e0e6e6fd3,2023-12-12,20,1,16067250,16067250.0,120504,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a509a7255a77e0e6e7021,2023-12-21,11,1,4950000,4950000.0,37125,0,0.0,1,1,1,Kecil,0,Hyper-Active Seller
631a509a7255a77e0e6e702b,2023-12-06,26,14,662349073,47310648.071428575,4967613,0,0.0,1,1,1,Menengah,0,Hyper-Active Seller
