buyer_id,last_transaction,recency_day,order_freq,gmv,aov,revenue,voucher_used,voucher_val,seller_count,num_of_seller_province,num_of_seller_city,cluster,cluster_name
631a5e71aa3096cbda26aeae,2023-04-03,273,1,3850000,3850000.0,28875,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5e7faa3096cbda26b462,2023-01-06,360,1,225000,225000.0,1687,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5e8baa3096cbda26b97d,2023-06-17,198,2,248076731,124038365.5,1860575,0,0.0,2,1,1,1,Small Order Occasional Buyer
631a5e90aa3096cbda26bbb3,2023-04-14,262,1,124000,124000.0,930,1,75000.0,1,1,1,1,Small Order Occasional Buyer
631a5e91aa3096cbda26bc4c,2023-02-09,326,1,29970,29970.0,224,1,25000.0,1,1,1,1,Small Order Occasional Buyer
631a5e95aa3096cbda26be19,2023-03-18,289,2,284700,142350.0,2135,2,116000.0,2,2,2,1,Small Order Occasional Buyer
631a5e9aaa3096cbda26c012,2023-04-26,250,1,102300,102300.0,767,1,46500.0,1,1,1,1,Small Order Occasional Buyer
631a5e9caa3096cbda26c0f5,2023-05-09,237,1,150400,150400.0,1128,1,68640.0,1,1,1,1,Small Order Occasional Buyer
631a5ea1aa3096cbda26c2c8,2023-06-22,193,1,151260,151260.0,1134,1,66000.0,1,1,1,1,Small Order Occasional Buyer
631a5ea1aa3096cbda26c2f9,2023-05-27,219,1,139150,139150.0,1043,1,75000.0,1,1,1,1,Small Order Occasional Buyer
631a5ea9aa3096cbda26c64f,2023-02-26,309,1,185200,185200.0,1389,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5eaaaa3096cbda26c6cd,2023-02-07,328,1,17215,17215.0,129,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5eadaa3096cbda26c863,2023-05-20,226,1,137640,137640.0,1032,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5eb8aa3096cbda26cd19,2023-03-31,276,1,141240,141240.0,1059,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ebbaa3096cbda26ce46,2023-05-13,233,2,239396,119698.0,1794,2,106000.0,2,2,2,1,Small Order Occasional Buyer
631a5ebcaa3096cbda26ce73,2023-03-02,305,1,59400,59400.0,445,1,27000.0,1,1,1,1,Small Order Occasional Buyer
631a5ebdaa3096cbda26cf10,2023-04-22,254,1,150000,150000.0,1125,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ec7aa3096cbda26d32b,2023-03-16,291,1,100000,100000.0,750,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ec7aa3096cbda26d334,2023-04-17,259,1,65000,65000.0,487,1,30000.0,1,1,1,1,Small Order Occasional Buyer
631a5ecaaa3096cbda26d4ba,2023-05-10,236,1,100000,100000.0,750,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ecbaa3096cbda26d4f5,2023-01-14,352,1,100000,100000.0,750,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ed1aa3096cbda26d79a,2023-04-12,264,1,136950,136950.0,1027,1,66000.0,1,1,1,1,Small Order Occasional Buyer
631a5ed4aa3096cbda26d8c1,2023-03-24,283,1,100000,100000.0,750,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ed8aa3096cbda26da99,2023-04-19,257,2,173222,86611.0,1299,2,80000.0,2,1,2,1,Small Order Occasional Buyer
631a5ee9aa3096cbda26e1a2,2023-01-13,353,1,117660,117660.0,882,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5ef4aa3096cbda26e697,2023-01-17,349,1,110000,110000.0,825,1,50000.0,1,1,1,1,Small Order Occasional Buyer
631a5efaaa3096cbda26e902,2023-05-08,238,1,51250,51250.0,384,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5efbaa3096cbda26e95a,2023-03-10,297,2,252450,126225.0,1893,2,100000.0,2,2,2,1,Small Order Occasional Buyer
631a5f02aa3096cbda26ec6d,2023-04-13,263,1,55888,55888.0,419,1,25000.0,1,1,1,1,Small Order Occasional Buyer
631a5f07aa3096cbda26eee2,2023-05-19,227,1,77700,77700.0,582,1,35000.0,1,1,1,1,Small Order Occasional Buyer
631a5f08aa3096cbda26ef06,2023-03-04,303,1,72150,72150.0,541,1,32500.0,1,1,1,1,Small Order Occasional Buyer
631a5f09aa3096cbda26efae,2023-06-16,199,1,47175000,47175000.0,353812,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5f0baa3096cbda26f05b,2023-01-18,348,1,203500,203500.0,1526,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5f10aa3096cbda26f28d,2023-02-15,320,1,31350,31350.0,235,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5f1caa3096cbda26f797,2023-03-11,296,1,164000,164000.0,1230,0,0.0,1,1,1,1,Small Order Occasional Buyer
631a5f26aa3096cbda26fbf0,2023-01-11,355,1,42680,42680.0,320,0,0.0,1,1,1,1,Small Order Occasional Buyer
